author,comment,like_count
@sonadam5966,"Bir Galatasaray taraftarı olarak söylemek isterim ki ben Fenerbahçe taraftarı kadar nankör, vefasız bir topluluk daha görmedim. Aziz Yıldırım gibi büyük bir başkana edilen hakaret ve küfürlerin haddi hesabı dahi yok. Büyük başkan 20-25 sene boyunca bu kulübe hizmet etti, uğruna 1 sene hapis yattı ve Fenerbahçe'yi her branşta öne çıkararak şampiyon yaptı ama sonuç olarak camiada nankörlük ve vefasızlıktan başka hiçbir şey göremiyorum. FB taraftarının sportif başarı yönünden övündüğü neredeyse her şey Aziz Yıldırım'ın eseridir. Bugün ""FB Türkiye'nin en büyük spor kulübüdür"" ya da ""FB Türkiye'nin en büyük sivil toplum örgütüdür"" diyebilen taraftarlar varsa bunu tamamen Aziz Yıldırım'a borçludurlar. Bu adam Fenerbahçe'ye çağ atlattı, o olmasaydı şimdiye Fenerbahçe, Beşiktaş'ın bile arkasında kalır ve 3. takım olarak insanların hafızasına kazınırdı. Elbette yanlışları ve hataları oldu, bazen geri dönülemeyecek adımlar da attı ama genele baktığımız takdirde Aziz Yıldırım ne Fenerbahçe taraftarı, ne de Fenerbahçe başkanı değildi, o şüphesiz Fenerbahçe'nin ta kendisiydi. Yanlışları ve doğrularıyla kendi yolunu çizmiş ve Fenerbahçe'yi adeta yeniden yaratmıştı. Artık Aziz Yıldırım diye biri yok ve Fenerbahçe nasıl bu kadar yükseldiyse, gelecek senelerde de o kadar düşecek ve sıradan bir takım olma yolunda ilerleyecektir. Aziz Yıldırım zamanından kalan borçlardan da bahsetmek istiyorum, şuan 3 büyüklerden borcu olmayan kulüp yok ve her birinin borcu milyar liraları aşmış durumda ilerliyor. Yani Aziz Yıldırım tüm yapılan işlerde risk alarak Fenerbahçe'yi bu kadar büyük bir kulüp haline getirdi, eğer risk almasaydı şimdi baktığımız zaman bu kadar büyük bir kulüp görüyor olmazdık. Kendisine çok saygı duyuyorum, bizim için hep mert ve delikanlı bir düşman olarak hafızalarımızda kalacaksın Aziz Yıldırım.",3
@huseyinozturk3601,Aziz başkan haklı bu ara boş yapmayın,0
@Fenerbahceli-uk5ud,Alex Her seyim💛💙,1
@hekimoner4625,Pavali Köpekler 🤣🤣🤣,1
@mereneroglu9,7 yıl önce,1
@sumeyyeergun2531,Dışarda Beşiktaş şampiyonluk kutluyor ben burda salya sümük seni izliyorum babacım ya ahh!,11
@emreyurdakul3297,Pavalı köpeklev hdhdhdhdhhdhdhdhdhdh 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
@enesfbli2045,Affet bizi başkan kıymetini bilemedik 😥,9
@ahmetoz744,😂😂😂 Şampiyon olmuşsunuz  zaten neden bağırıyorsun,0
@sinancolak4900,Teybiyesizlev ahlaksislar pavali köpeklev sizlev Fenerbahçeli devipsiniz,0
